Year,Number_of_blooms,Number_of_blooms_biological,Total_bloom_days_calendar,Bloom_days_above_threshold_calendar,Total_bloom_days_biological,Bloom_days_above_threshold_biological,Percent_total_bloom_days_above_threshold,Percent_total_bloom_days_above_threshold_biological,Total_integrated_chl,Bloom_period_integrated_chl,Biological_total_integrated,Biological_bloom_period_integrated,Bloom_year_integrated_chl,Bloom_year_bloom_only_integrated,January_integrated_chl,February_integrated_chl,March_integrated_chl,April_integrated_chl,May_integrated_chl,June_integrated_chl,July_integrated_chl,August_integrated_chl,September_integrated_chl,October_integrated_chl,November_integrated_chl,December_integrated_chl
2008,2,2,192,153,151,124,0.796875,0.8211920529801324,435.13956,275.10892,429.78418,234.55414,355.67178,275.10892,0.0,0.0,26.731565475463867,56.329193115234375,40.58781814575195,1.7717199325561523,0.0,1.98921537399292,38.14799880981445,47.26236,40.80574035644531,11.336919784545898
2009,3,3,136,86,142,77,0.6323529411764706,0.5422535211267606,442.35272,219.45424,431.8545,208.2461,340.91412,219.45424,0.0,0.0,9.126150131225586,70.9952163696289,6.789428234100342,0.0,0.0,0.0,41.94041442871094,47.50759,37.22518539428711,0.0
2010,3,3,178,125,225,157,0.702247191011236,0.6977777777777778,441.54077,262.0859,466.4524,326.47327,424.09628,303.73032,0.0,0.0,32.12505340576172,44.370967864990234,0.0,0.0,0.0,1.1506861448287964,43.04904556274414,56.66287,37.74172592163086,38.57442855834961
2011,3,3,198,140,171,132,0.7070707070707071,0.7719298245614035,455.54575,290.3082,461.69757,272.14645,361.47504,249.94424,39.496826171875,0.0,31.818546295166016,57.5847053527832,8.930679321289062,0.0,0.0,18.219226837158203,38.06667709350586,53.547367,47.124000549316406,4.66461706161499
2012,2,1,186,157,129,108,0.8440860215053764,0.8372093023255814,506.5332,329.2594,448.75244,223.8666,475.7614,347.27933,0.0,8.672725677490234,58.04061508178711,50.11043167114258,1.7407879829406738,0.0,0.0,0.0,29.77088737487793,60.90831,61.94841003417969,47.51430130004883
2013,1,2,153,108,183,131,0.7058823529411765,0.7158469945355191,424.02887,228.85341,453.8777,284.08405,218.83406,218.83406,16.870649337768555,0.0,0.0,0.0,0.0,0.0,0.0,15.477052688598633,41.88493347167969,52.60913,52.83686447143555,42.65243911743164
2014,3,2,139,101,156,121,0.7266187050359713,0.7756410256410257,421.90106,207.10193,400.77313,211.24506,414.81927,276.49506,5.669089317321777,0.0,0.8213128447532654,53.98036575317383,8.335371017456055,0.0,0.0,0.0,5.685324668884277,51.67705,36.404964447021484,44.934844970703125
2015,1,2,169,137,171,137,0.8106508875739645,0.8011695906432749,436.73697,267.28873,461.18695,281.72424,224.70845,224.70845,38.89265060424805,30.377140045166016,2.1853652000427246,0.0,0.0,0.0,0.0,0.0,13.622249603271484,58.928345,52.72539520263672,63.088863372802734
2016,2,2,219,138,192,114,0.6301369863013698,0.59375,424.58014,281.385,411.77228,244.64429,307.44333,251.8179,29.567115783691406,0.0,5.439153671264648,43.11963653564453,6.046024322509766,0.0,14.097441673278809,30.029626846313477,38.940757751464844,45.128056,45.39765930175781,14.932703018188477
2017,2,2,153,128,165,137,0.8366013071895425,0.8303030303030303,442.42398,240.48494,459.0481,261.38455,369.86108,246.8017,0.0,0.0,3.8964765071868896,41.954322814941406,1.0680668354034424,0.0,0.0,0.0,30.018850326538086,55.754204,54.14262390136719,45.11032485961914
2018,2,1,170,113,152,85,0.6647058823529411,0.5592105263157895,418.19244,233.21075,388.4856,195.88803,368.51367,260.31305,4.009676933288574,0.0,17.731428146362305,44.8840217590332,0.0,0.0,0.0,0.0,24.277603149414062,47.6678,43.97905349731445,42.99882507324219
2019,1,1,124,74,92,74,0.5967741935483871,0.8043478260869565,404.1666,168.244,410.9485,138.26761,138.26761,138.26761,29.152700424194336,0.0,0.0,0.0,0.0,0.0,0.0,10.847885131835938,40.13602066040039,54.93386,27.70092010498047,0.0
2020,1,1,65,60,100,88,0.9230769230769231,0.88,402.30954,106.77712,407.17703,151.94894,151.94894,151.94894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0257955,50.62294006347656,50.08073425292969
2021,1,3,165,129,254,186,0.7818181818181819,0.7322834645669292,431.26813,242.59897,465.11377,360.8797,251.82892,251.82892,39.64807891845703,3.101663589477539,0.0,0.0,0.0,0.0,0.0,5.2550764083862305,35.25837707519531,56.06246,50.47478485107422,45.845455169677734
2022,3,1,301,233,359,329,0.7740863787375415,0.9164345403899722,516.298,455.0194,714.183,708.6588,455.89648,427.94556,44.802490234375,5.0803375244140625,25.413949966430664,37.68083190917969,41.321990966796875,1.5786330699920654,22.465530395507812,38.97536087036133,43.53734588623047,67.34983,59.70451354980469,53.615509033203125
2023,1,2,366,365,261,235,0.9972677595628415,0.9003831417624522,819.0853,819.08527,620.0255,515.74274,843.50745,843.50745,48.93571090698242,35.88072967529297,53.58445358276367,92.13082885742188,79.71517181396484,88.40352630615234,101.43087005615234,68.41714477539062,55.70331573486328,72.85826,50.802127838134766,46.16178512573242
2024,3,3,204,147,165,108,0.7205882352941176,0.6545454545454545,461.9898,294.66632,417.98907,230.1549,367.71564,258.98172,42.057098388671875,0.0,3.5856823921203613,48.34579849243164,10.555564880371094,0.0,0.0,5.944104194641113,43.1800422668457,56.246902,39.87443161010742,38.0124397277832
2025,2,1,126,72,88,60,0.5714285714285714,0.6818181818181818,397.4141,166.96722,228.55411,124.796425,301.43155,160.88873,6.078474521636963,0.0,0.0,29.430805206298828,5.348675727844238,0.0,0.0,0.0,15.932049751281738,50.715622,40.53152084350586,13.442861557006836
