Year,Number_of_blooms,Number_of_blooms_biological,Total_bloom_days_calendar,Bloom_days_above_threshold_calendar,Total_bloom_days_biological,Bloom_days_above_threshold_biological,Percent_total_bloom_days_above_threshold,Percent_total_bloom_days_above_threshold_biological,Total_integrated_chl,Bloom_period_integrated_chl,Biological_total_integrated,Biological_bloom_period_integrated,Bloom_year_integrated_chl,Bloom_year_bloom_only_integrated,January_integrated_chl,February_integrated_chl,March_integrated_chl,April_integrated_chl,May_integrated_chl,June_integrated_chl,July_integrated_chl,August_integrated_chl,September_integrated_chl,October_integrated_chl,November_integrated_chl,December_integrated_chl
2008,2,3,129,87,171,101,0.6744186046511628,0.5906432748538012,326.77145,136.04816,343.65424,177.85078,231.55359,136.04816,0.0,0.0,3.3207507133483887,30.773529052734375,12.697088241577148,0.0,0.0,2.8367693424224854,33.03595,35.00322,13.055154800415039,0.0
2009,6,5,257,137,210,131,0.5330739299610895,0.6238095238095238,368.3144,276.41916,369.96307,239.75189,314.33826,276.41916,0.0,0.0,23.55438804626465,32.24707794189453,30.649669647216797,2.276322841644287,18.952756881713867,32.434326171875,41.427273,33.335613,29.37901496887207,27.112957000732422
2010,2,3,198,143,253,168,0.7222222222222222,0.6640316205533597,378.5063,237.73671,387.17126,296.81348,265.7036,183.64783,0.0,0.0,16.846996307373047,35.493858337402344,0.0,0.0,0.0,33.672332763671875,49.8317,38.81566,22.842103958129883,33.716068267822266
2011,4,4,234,155,209,134,0.6623931623931624,0.6411483253588517,357.6257,254.56291,346.80023,214.98022,403.3028,309.81595,34.68516540527344,0.0,13.361655235290527,41.38374710083008,20.59063720703125,0.0,0.0,21.964075088500977,31.429752,33.63559,31.772729873657227,20.764387130737305
2012,3,1,247,184,178,155,0.7449392712550608,0.8707865168539326,423.06995,324.5616,411.76242,257.7774,375.45074,330.19626,0.0,0.0,22.72608184814453,28.053329467773438,20.62007713317871,0.0,16.663644790649414,41.504581451416016,48.01796,56.097286,47.76834487915039,34.898468017578125
2013,2,3,140,103,166,115,0.7357142857142858,0.6927710843373494,357.8437,164.3789,363.1348,190.39876,186.91205,159.75832,4.620582580566406,0.0,0.0,0.0,0.0,0.0,16.47214126586914,19.284687042236328,15.053746,38.72606,38.3819694519043,27.04766273498535
2014,2,4,144,107,201,138,0.7430555555555556,0.6865671641791045,360.26337,165.01152,361.45648,223.10599,198.00563,124.40679,0.0,0.0,0.0,0.0,3.0523300170898438,26.759750366210938,0.0,0.0,18.563498,43.448418,34.30522155761719,34.70561599731445
2015,4,2,187,126,168,122,0.6737967914438503,0.7261904761904762,354.822,213.38167,366.1472,197.82233,400.64166,259.20135,31.700956344604492,18.50044059753418,4.490180969238281,31.75895881652832,7.87185001373291,0.0,0.0,0.0,4.889828,40.95051,41.16938400268555,35.23891830444336
2016,2,2,213,158,242,140,0.7417840375586855,0.5785123966942148,386.45355,250.88461,380.64374,272.0603,311.3343,248.10321,2.781395673751831,0.0,11.212640762329102,31.58905029296875,23.04937744140625,0.0,2.7298216819763184,32.8788948059082,34.612686,44.152157,41.13203048706055,18.507408142089844
2017,3,3,245,139,202,147,0.5673469387755102,0.7277227722772277,378.9572,276.65353,379.99887,240.05959,317.5332,283.97815,0.0,0.0,5.365232944488525,39.249237060546875,19.84249496459961,24.583580017089844,3.4903740882873535,18.44581413269043,36.08858,43.861885,32.50510787963867,46.117713928222656
2018,2,2,154,117,197,105,0.7597402597402597,0.5329949238578681,333.9561,163.9362,330.02408,204.22443,305.1491,188.4682,4.25970983505249,0.0,18.657899856567383,28.782878875732422,0.0,0.0,0.0,0.0,4.808427,35.978176,31.72153091430664,34.0048713684082
2019,2,2,209,94,152,96,0.44976076555023925,0.631578947368421,351.68216,221.27386,352.1062,172.05116,236.69516,193.45349,27.125350952148438,0.0,0.0,4.102086067199707,28.295528411865234,30.236064910888672,0.0,9.761018753051758,34.298603,42.523067,32.81071472167969,4.822489261627197
2020,2,2,187,158,204,176,0.8449197860962567,0.8627450980392157,370.1453,219.1763,382.4285,244.78711,332.19666,242.84364,0.0,0.0,10.8204927444458,31.23344612121582,0.0,0.0,0.0,27.437807083129883,32.59641,35.10444,38.86275863647461,37.11853790283203
2021,2,3,189,141,247,188,0.746031746031746,0.7611336032388664,373.94846,226.47055,437.7599,333.70273,288.38556,186.17865,22.674537658691406,0.0,14.146505355834961,29.322044372558594,0.0,0.0,0.0,5.43206787109375,36.470047,44.559727,35.33439636230469,32.88033676147461
2022,2,1,294,255,358,352,0.8673469387755102,0.9832402234636871,493.09973,428.0052,623.3771,616.7224,194.00569,192.5517,40.39177703857422,66.43889617919922,36.069480895996094,27.34087371826172,0.0,0.0,25.019290924072266,40.7493896484375,38.88981,53.58783,40.64106369018555,47.806190490722656
2023,1,1,365,365,254,235,1.0,0.9251968503937008,624.4308,624.4308,429.27228,343.18088,915.55347,915.55347,50.63541793823242,50.57288360595703,53.123077392578125,67.63468170166016,61.17338562011719,65.98552703857422,57.819366455078125,42.311866760253906,36.930782,47.301434,34.104087829589844,38.444393157958984
2024,2,2,212,185,192,160,0.8726415094339622,0.8333333333333334,373.82867,248.95415,363.9723,228.11311,305.0715,230.14928,31.409902572631836,0.0,0.0,34.87455368041992,10.020866394042969,0.0,0.0,21.329147338867188,39.866726,40.406677,30.85019874572754,32.98102569580078
2025,2,1,129,70,79,44,0.5426356589147286,0.5569620253164557,323.22168,138.11601,168.3321,81.84135,224.74326,126.14099,11.975028038024902,0.0,8.259946823120117,35.06022644042969,0.0,0.0,0.0,0.0,24.380278,35.695927,19.481534957885742,0.0
